"id"	"name"	"country"	"state"	"city"	"address"	"longitude"	"latitude"	"source"	"type"	"long.qry"	"lat.qry"	"address.qry"
"4824"	NA	"Juniper Hall Field Centre"	"United Kingdom"	"England"	"Dorking, Surrey"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-0.321252	51.261323	"FSC Juniper Hall: Box Hill, Surrey, Juniper Hall Field Centre, Old London Rd, Dorking RH5 6DA, UK"
"4825"	NA	"Stetson University"	"USA"	"Florida"	"DeLand"	"Sage Hall.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-82.718838	27.754673	"Stetson University Park, Gulfport, FL 33707, USA"
"4826"	NA	"Dudley and Midland Geological and Scientific Society and Field Club"	"United Kingdom"	"England"	"Dudley, West Midlands"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-2.081112	52.512255	"Dudley, UK"
"4827"	NA	"Crichton Royal Institution Museum"	"United Kingdom"	"Scotland"	"Dumfries DG1 4ZE, Dumfries and Galloway Region"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4828"	NA	"The University of Newcastle"	"Australia"	"New South Wales"	"Callaghan, Newcastle"	"University Drive  "	NA	NA	"grbioorg"	"biodiversityinstitution"	151.710005	-32.8871981	"Warabrook, NSW 2304, Australia"
"4829"	NA	"Medicinal Plants Research Institute"	"Thailand"	""	"Nonthaburi 11000"	"88/7 Soi Bumrainaradura Hospital, Tumbol Talatkhwan, Muang District  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4830"	NA	"Britannia Royal Naval College"	"United Kingdom"	"England"	"Dartmouth, Devon"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-3.583057	50.3575019	"Britannia Royal Naval College, Batttleaxe Division, Conningham Squadron Brnc, Dartmouth TQ6 0HJ, UK"
"4831"	NA	"Mithila University"	"India"	"Bihar"	"Darbhanga 846 004"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	72.5430097	23.0236851	"University Rd, Ahmedabad, Gujarat, India"
"4832"	NA	"Department of Primary Industry and Fisheries"	"Australia"	"Northern Territory"	"Darwin"	"Makagon Road, Berrimah  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4833"	NA	"Dalian Museum of Natural History"	"China"	"Liaoning"	"Dalian"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	121.5614399	38.8701953	"Da Lian Zi Ran Bo Wu Guan, HeiShiJiao, Shahekou Qu, Dalian Shi, Liaoning Sheng, China, 116000"
"4834"	NA	"Dundee Naturalists Society"	"United Kingdom"	"Scotland"	"Dundee"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-2.970721	56.462018	"Dundee, UK"
"4835"	NA	"Donetsk Botanical Garden of the National Academy of Sciences of Ukraine"	"Ukraine"	""	"110 Donetsk"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	37.80285	48.015883	"Donetsk, Donetsk Oblast, Ukraine"
"4836"	NA	"Societe d Agriculture Sciences et Arts"	"France"	""	"Douai"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4837"	NA	"Collegio Mellerio Rosmini"	"Italy"	""	"I-28845 Domodossola"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4838"	NA	"Dorset County Museum"	"United Kingdom"	"England"	"Dorchester, Dorset DT1 1XA"	"High West Street.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-2.4376525	50.7155485	"Dorset County Museum, 64 High W St, Dorchester DT1 1XA, UK"
"4839"	NA	"Botanischer Garten Rombergpark, Stadt Dortmund"	"Germany"	""	"D-44225 Dortmund"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	7.4672972	51.4821782	"Botanischer Garten Rombergpark, Am Rombergpark 49B, 44225 Dortmund, Germany"
"4840"	NA	"Delaware State University"	"USA"	"Delaware"	"Dover"	"Washington Building, 1200 N. DuPont Highway.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-75.7589064	39.6794363	"University Garden Apartments, 281 Beverly Rd # H5, Newark, DE 19711, USA"
"4841"	NA	"DePauw University"	"USA"	"Indiana"	"Greencastle"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-86.1205119	39.69688	"Depauw Rd, Indianapolis, IN 46227, USA"
"4842"	NA	"Daqing Teachers College"	"China"	"Heilongjiang"	"Daqing"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4843"	NA	"Technische Universitat Dresden"	"Germany"	""	"D-01062 Dresden"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	13.7390843	51.0294529	"Technische Universität Dresden Fakultät Architektur, 01069 Dresden, Germany"
"4844"	NA	"Delta State University"	"USA"	"Mississippi"	"Cleveland"	"Caylor Hall.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-90.6306102	35.8107031	"Arkansas State University - Delta Center for Economic Development - Krueger Dr. Building, 5501 Krueger Dr, Jonesboro, AR 72401, USA"
"4845"	NA	"University of Dar es Salaam"	"Tanzania"	""	"Dar es Salaam"	"Ubungo.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	39.205314	-6.7804132	"University of Dar es salaam Press, Dar es Salaam, Tanzania"
"4846"	NA	"Dnipropetrovsk National University"	"Ukraine"	""	"49010 Dnepropetrovsk"	"Kazakova Street, 18  "	NA	NA	"grbioorg"	"biodiversityinstitution"	35.046183	48.464717	"Dnipro, Dnipropetrovsk Oblast, Ukraine"
"4847"	NA	"Dewsbury Museum"	"United Kingdom"	"England"	"Dewsbury, West Yorkshire"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-1.6296949	53.689833	"Dewsbury, UK"
"4848"	NA	"Centro de Investigaciones Cientificas y Transferencia de Tecnologia a la Produccion (CICyTTP-CONICET)"	"Argentina"	""	"Ciudad de Diamante"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4849"	NA	"Darlington and Teesdale Naturalists Field Club"	"United Kingdom"	"England"	"Darlington, Durham"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-1.559458	54.52361	"Darlington, UK"
"4850"	NA	"National Botanic Gardens"	"Ireland"	""	"Dublin 9"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-6.2704018	53.3716672	"Education Visitors Centre, National Botanic Gardens, Botanic Rd, Botanic, Dublin 9, Ireland"
"4851"	NA	"Dublin Naturalists Field Club"	"Ireland"	""	"Dublin"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-83.1140771	40.0992294	"Dublin, OH, USA"
"4852"	NA	"University of Dundee"	"United Kingdom"	"Scotland"	"Dundee, Tayside Region"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-3.023085	56.455827	"University of Dundee Botanic Garden, University of Dundee, Riverside Dr, Dundee DD2 1QH, UK"
"4853"	NA	"University of Dicle"	"Turkey"	""	"21280 Diyarbakir"	"Dicle  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4854"	NA	"Universidad del Atlantico"	"Colombia"	""	"Barranquilla"	"sde Norte,  Antigua via a Puerto Colombia, km. 7  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-74.8752029	11.0185768	"Universidad del Atlántico, Barranquilla, Atlántico, Colombia"
"4855"	NA	"University of Delhi"	"India"	"Delhi Union Territory"	"New Delhi 110 007"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	77.2110547	28.7080395	"Delhi University Ground, Mukherjee Nagar, New Delhi, Delhi 110009, India"
"4856"	NA	"Universitat Duisburg"	"Germany"	""	"D-47048 Duisburg"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	6.7868875	51.4287845	"Universität Duisburg-Essen Campus Duisburg - Gebäude BC, Universitätsstraße 2, 45141 Duisburg, Germany"
"4857"	NA	"Duke University"	"USA"	"North Carolina"	"Durham"	"Science Drive, West Campus.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-117.166351	34.061706	"Duke Hall, N University St, Redlands, CA 92374, USA"
"4858"	NA	"University of Minnesota"	"USA"	"Minnesota"	"Duluth"	"1110 Kirby Drive, 211 Life Science Building.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-93.2330739	44.9753541	"University of Minnesota - Twin Cities, Minneapolis, MN, USA"
"4859"	NA	"Duzce University"	"Turkey"	"Düzce"	"81620, Beçiyörükler-Düzce"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	31.162609	40.83872	"Düzce, Düzce Merkez/Düzce Province, Turkey"
"4860"	NA	"Dumlupinar University"	"Turkey"	""	"43100 Kütahya"	"Merkez Kampüs  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4861"	NA	"Southeastern Oklahoma State University"	"USA"	"Oklahoma"	"Durant"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-97.473771	35.1991469	"Southern Heights Ave, Norman, OK 73072, USA"
"4862"	NA	"Universitat Dusseldorf"	"Germany"	""	"D-40225 Düsseldorf"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	6.788854	51.1924328	"Universitat Tunnel, 40225 Düsseldorf, Germany"
"4863"	NA	"Diablo Valley College"	"USA"	"California"	"Pleasant Hill"	"321 Golf Club Road.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-122.068966	37.971213	"Diablo Valley College, Pleasant Hill, CA 94523, USA"
"4864"	NA	"Dover Corporation Museum"	"United Kingdom"	"England"	"Dover, Kent"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-75.5243682	39.158168	"Dover, DE, USA"
"4865"	NA	"West Chester University"	"USA"	"Pennsylvania"	"West Chester"	"Schmucker Science Center.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-75.602012	39.9510827	"University Hall, 180 University Ave, West Chester, PA 19383, USA"
"4866"	NA	"Darwen Library"	"United Kingdom"	"England"	"Darwen, Lancashire"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-2.4661321	53.6966942	"Library, Knott St, Darwen BB3 3BU, UK"
"4867"	NA	"Disney Wilderness Preserve/The Nature Conservancy"	"USA"	"Florida"	"Kissimmee"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4868"	NA	"Dakota Wesleyan University"	"USA"	"South Dakota"	"Mitchell"	"1200 West University Avenue  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4869"	NA	"Devizes Museum"	"United Kingdom"	"England"	"Devizes, Wiltshire"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-1.9933856	51.3497249	"Wiltshire Heritage Museum, 41 Long St, Devizes SN10 1NS, UK"
"4870"	NA	"Estonian Agricultural University"	"Estonia"	""	"EE 51014 Tartu"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4871"	NA	"Universidade Federal do Ceara"	"Brazil"	"Ceará"	"60451-970 Fortaleza"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-38.5530856	-3.74849	"Universidade Federal do Cera Maternidade - Escola Assis Chateaubriand - Rodolfo Teófilo, Fortaleza - CE, Brazil"
"4872"	NA	"Instituto Federal de Educacao, Ciencia e Tecnologia do Amazonas"	"Brazil"	"Amazonas"	"São José Operário, Manaus"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-65.8560646	-3.4168427	"State of Amazonas, Brazil"
"4873"	NA	"Universidade Federal da Paraiba, Campus III - CCA"	"Brazil"	"Paraíba"	"58397-000 Areia"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4874"	NA	"Escuela Agricola Panamericana"	"Honduras"	""	"Tegucigalpa"	"Zamorano, 35 Km east of Tegucigalpa.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4875"	NA	"Earlham College"	"USA"	"Indiana"	"Richmond"	"National Road West.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-84.234505	39.775518	"Earlham Dr, Dayton, OH 45406, USA"
"4876"	NA	"Edinburgh Academy Field Centre"	"United Kingdom"	"Scotland"	"Acharn, Tayside Region"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-3.1696162	55.9708832	"Academy St, Edinburgh EH6 7EF, UK"
"4877"	NA	"Eastbourne Museum"	"United Kingdom"	"England"	"Eastbourne, East Sussex"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	0.2864473	50.7622711	"Lifeboat Museum (adj), Eastbourne BN21, UK"
"4878"	NA	"Hubei Forestry Institute"	"China"	"Hubei"	"Wuhan"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	114.3657356	30.5115631	"Hu Bei Sheng Lin Ye Diao Cha Gui Hua Yuan, Hongshan Qu, Wuhan Shi, Hubei Sheng, China, 430073"
"4879"	NA	"Botanical Society of Edinburgh"	"United Kingdom"	"Scotland"	"Edinburgh"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4880"	NA	"Edinburgh Natural History Society"	"United Kingdom"	"Scotland"	"Edinburgh"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-3.188267	55.953252	"Edinburgh, UK"
"4881"	NA	"Universidad Michoacana de San Nicolas de Hidalgo"	"Mexico"	"Michoacán"	"58040 Morelia"	"Ciudad Universitaria, Edificio L.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-98.7623874	20.0910963	"Hidalgo, Mexico"
"4882"	NA	"Laboratoire de Biologie Generale et de Botanique"	"Democratic Republic of the Congo"	""	"Lubumbashi"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4883"	NA	"Elmira College"	"USA"	"New York"	"Elmira"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-121.3384728	38.5726975	"Elmira Cir, Sacramento, CA 95827, USA"
"4884"	NA	"Hubei College of Traditional Chinese Medicine"	"China"	"Hubei"	"Wuhan"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	112.9979411	28.1618843	"Hu Nan Zhong Yi Xue Yuan Ti Yu Gong Zuo Bu, Yuhua Qu, Changsha Shi, Hunan Sheng, China, 410007"
"4885"	NA	"East Central University"	"USA"	"Oklahoma"	"Ada"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-82.4553299	28.0530332	"N Central Ave, Tampa, FL, USA"
"4886"	NA	"Edith Cowan University"	"Australia"	"Western Australia"	"Joondalup"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	115.76982	-31.7544456	"Joondalup Dr Edith Cowan University, Joondalup WA 6027, Australia"
"4887"	NA	"Universidad Estatal Amazonica"	""	""	"Puyo"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4888"	NA	"East Carolina University"	"USA"	"North Carolina"	"Greenville"	"Howell Science Complex N303a  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-81.2826216	29.0254798	"E Carolina Ave, DeLand, FL 32724, USA"
"4889"	NA	"Emirates Centre for Wildlife Propagation"	"Morocco"	""	"33250 Missour"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-4.5882392	33.1352351	"ECWP, Morocco"
"4890"	NA	"Hubei Institute for Drug Control"	"China"	"Hubei"	"Wuhan"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	114.3310093	30.5259562	"Hu Bei Sheng Shi Pin Yao Pin Jian Du Jian Yan Yan Jiu Yuan, HongShan JieDao Kou ShangQuan, Wuchang Qu, Wuhan Shi, Hubei Sheng, China, 430000"
"4891"	NA	"Plinian Society"	"United Kingdom"	"Scotland"	"Edinburgh"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4892"	NA	"Trakya Universitesi"	"Turkey"	""	"Edirne"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	26.6112102	41.6373486	"Trakya Ünv. Balkan Yerleskesi, 22130 Edirne Merkez/Edirne, Turkey"
"4893"	NA	"Escola de Florestas"	"Brazil"	"Paraná"	"80000 Curitiba"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-44.2073906	-2.5625247	"R. Colégio Ou Florestal - Forquilha, São Luís - MA, Brazil"
"4894"	NA	"Epping Forest Conservation Centre"	"United Kingdom"	"England"	"Loughton, Essex"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	0.0393758	51.6653862	"Epping Forest Visitor Centre, Waltham Abbey, Loughton IG10, UK"
"4895"	NA	"Forestry Commission"	"Nigeria"	""	"Enugu"	"Forestry Development and Investigation Branch; No. 2 Works Road, GRA.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4896"	NA	"Epping Forest Museum"	"United Kingdom"	"England"	"Chingford, London"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	0.108655	51.700328	"Epping CM16, UK"
"4897"	NA	"Ege University"	"Turkey"	""	"35100 Bornova"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4898"	NA	"University of Edinburgh"	"United Kingdom"	"Scotland"	"Edinburgh"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-3.1847238	55.946269	"University of Edinburgh, 30 Nicolson St, Edinburgh EH8 9DL, UK"
"4899"	NA	"University of Edinburgh"	"United Kingdom"	"Scotland"	"Edinburgh EH9 3JH"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-3.1847238	55.946269	"University of Edinburgh, 30 Nicolson St, Edinburgh EH8 9DL, UK"
"4900"	NA	"University of Edinburgh"	"United Kingdom"	"Scotland"	"Edinburgh"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-3.1847238	55.946269	"University of Edinburgh, 30 Nicolson St, Edinburgh EH8 9DL, UK"
"4901"	NA	"Eszterhazy Karoly College"	"Hungary"	""	"H-3301 Eger"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4902"	NA	"Emory and Henry College"	"USA"	"Virginia"	"Emory"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4903"	NA	"Universite d Etat d Haiti"	"Haiti"	""	"Damien"	"Northeast of Port-au-Prince.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-72.3204875	18.5374172	"Rectorat UEH, 21 Rue Riviere, Port-au-Prince, Haiti"
"4904"	NA	"Universidad de Chile"	"Chile"	""	"Santiago"	"Santa Rosa 11315, La Pintana.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-70.650391	-33.443809	"Universidad de Chile, Santiago, Región Metropolitana, Chile"
"4905"	NA	"Eastern Illinois University"	"USA"	"Illinois"	"Charleston"	"Seventh Street.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-87.5476169	38.0019135	"Chicago and Eastern Illinois R, Evansville, IN, USA"
"4906"	NA	"Eastern Kentucky University"	"USA"	"Kentucky"	"Richmond"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-85.7577805	38.2133763	"Eastern Pkwy, Louisville, KY, USA"
"4907"	NA	"Elgin Museum"	"United Kingdom"	"Scotland"	"Elgin, Moray IV30 1EQ"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-3.3103391	57.6491307	"Elgin Museum, 1 High St, Elgin IV30 1EQ, UK"
"4908"	NA	"Central Washington University"	"USA"	"Washington"	"Ellensburg"	"Sciences Building.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-87.6341005	41.8829936	"Washington Block, Chicago, IL 60606, USA"
"4909"	NA	"Aldenham School"	"United Kingdom"	"England"	"Elstree, Hertfordshire"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-0.327918	51.6632452	"McGills House Aldenham School, Aldenham Rd, Radlett, Borehamwood WD6 3AJ, UK"
"4910"	NA	"National Station for Plant Breeding"	"Portugal"	""	"P-7351 Elvas Codex"	"Estrada Gil Vaz.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4911"	NA	"Universidade Federal de Ouro Preto"	"Brazil"	"Minas Gerais"	"35400 Ouro Prêto"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-43.5129325	-20.3959183	"Centro Desportivo (Campo de Futebol) - CEDUFOP / UFOP, Ouro Preto - MG, Brazil"
"4912"	NA	"Sichuan School of Chinese Materia Medica"	"China"	"Sichuan"	"Emeishan"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4913"	NA	"Eastern Michigan University"	"USA"	"Michigan"	"Ypsilanti"	"405 Mark Jefferson  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-76.982322	38.9425543	"Michigan Ave NE, United States"
"4914"	NA	"Universidad Politecnica de Madrid"	"Spain"	""	"28040 Madrid"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4915"	NA	"The Everhart Museum of Natural History, Science and Art"	"USA"	"Pennsylvania"	"Scranton"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4916"	NA	"Universidad Nacional Agraria"	"Nicaragua"	""	"Managua"	"Escuela de Ciencias Forestales.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-86.1632891	12.1451959	"Universidad Nacional Agraria, Carr. Panamericana, Managua, Nicaragua"
"4917"	NA	"Instituto Politecnico Nacional"	"Mexico"	"Distrito Federal"	"11410 Mexico City"	"Carpio y Plan de Ayala.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-99.1443915	19.5425858	"Instituto Politécnico Nacional, Zona Escolar, 07230 Ciudad de México, CDMX, Mexico"
"4918"	NA	"Royal Holloway College, University of London"	"United Kingdom"	"England"	"Englefield Green, Surrey"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-0.1351856	51.5448259	"University College London, 109 Camden Rd, London NW1 9HZ, UK"
"4919"	NA	"Hubei College for Nationalities"	"China"	"Hubei"	"Enshi"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	114.394169	30.4916307	"Zhong Nan Min Zu Da Xue Mei Shu Xue Yuan, Hongshan Qu, Wuhan Shi, Hubei Sheng, China, 430073"
"4920"	NA	"Escuela Normal Superior de Jalisco"	"Mexico"	"Jalisco"	"Guadalajara"	"Federick Chopin 5510, La Estancia.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-103.3494376	20.6595382	"Jalisco, Mexico"
"4921"	NA	"Ministry of Natural Resources"	"Uganda"	""	"Kampala"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4922"	NA	"Upsala College"	"USA"	"New Jersey"	"East Orange"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-71.7947855	42.2420105	"Upsala St, Worcester, MA 01610, USA"
"4923"	NA	"Eastern Oregon University"	"USA"	"Oregon"	"LaGrande"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-118.0942863	45.319304	"Eastern Oregon University, La Grande, OR 97850, USA"
"4924"	NA	"Official Seed Testing Station, Agricultural Scientific Services"	"United Kingdom"	"Scotland"	"Edinburgh"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4925"	NA	"Snow College"	"USA"	"Utah"	"Ephraim"	"150 East College Ave.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-111.5782781	39.3592561	"Snow College Activities Center, 350 E Center St, Ephraim, UT 84627, USA"
"4926"	NA	"Epsom College Museum"	"United Kingdom"	"England"	"Epsom, Surrey"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-0.267382	51.336036	"Epsom, UK"
"4927"	NA	"Centre de Formation et de Recherche en Conservation Forestiere"	"Democratic Republic of the Congo"	"Province Orientale"	"Gombe"	"Réserve de Faune à Okapis (RFO)  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4928"	NA	"Universitat Erlangen-Nurnberg"	"Germany"	""	"D-91058 Erlangen"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	11.0273891	49.5737593	"Friedrich Alexander University of Erlangen Nuremberg - Informatik, Martensstraße, 91058 Erlangen, Germany"
"4929"	NA	"Universidad Nacional de Entre Rios"	"Argentina"	"Entre Ríos"	"3100 Paraná"	"Ruta Provincial 11, Km 10, Oro Verde.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-60.651115	-32.9439379	"Universidad Nacional de Rosario: Facultad de Derecho, Calle Córdoba 2020, S2000AXH Rosario, Santa Fe, Argentina"
"4930"	NA	"Yerevan State University"	"Armenia"	""	"375049 Yerevan"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	44.5460719	40.2019045	"Department of Informatics and Statistics, 77 Paruyr Sevak St, Yerevan 0069, Armenia"
"4931"	NA	"Ecosystem Research Development Bureau, University of the Philippines"	"Philippines"	""	"Los Baños"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	121.774017	12.879721	"Philippines"
"4932"	NA	"Institute of Botany of the National Academy of Sciences of Armenia"	"Armenia"	""	"375063 Yerevan 63"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4933"	NA	"Institute of Botany of the National Academy of Sciences of Armenia"	"Armenia"	""	"375063 Yerevan 63"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4934"	NA	"Borough of Erith Museum"	"United Kingdom"	"England"	"Erith, Kent"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
